qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qcovs
AMP_0111,CAN5555024.1,80,25,5,0,1,25,511,535,1.64e-07,50.1,88
AMP_0111,CAN5142290.1,80,25,5,0,1,25,519,543,1.94e-07,49.7,88
AMP_0111,CAN5371278.1,80,25,5,0,1,25,507,531,2.12e-07,49.7,88
AMP_0111,CAN5262527.1,80,25,5,0,1,25,513,537,3.07e-07,49.3,88
AMP_0111,CUR57089.1,80,25,5,0,1,25,514,538,3.13e-07,49.3,88
AMP_0111,CAN5384305.1,72,25,7,0,1,25,512,536,4.32e-07,48.9,96
AMP_0111,CAN5824044.1,80,25,5,0,1,25,514,538,7.47e-07,48.1,88
AMP_0111,CAN5170174.1,76,25,6,0,1,25,512,536,7.62e-07,48.1,88
AMP_0111,CAB4632009.1,80,25,5,0,1,25,515,539,9.92e-07,47.8,88
AMP_0111,OIQ83719.1,76,25,6,0,1,25,514,538,1.36e-06,47.4,88
AMP_0111,CAB4546766.1,76,25,6,0,1,25,508,532,1.68e-06,47,88
AMP_0111,CAB4536441.1,76,25,6,0,1,25,506,530,1.70e-06,47,92
AMP_0111,CAB4559937.1,76,25,6,0,1,25,508,532,1.77e-06,47,88
AMP_0111,CAB4859875.1,76,25,6,0,1,25,508,532,1.91e-06,47,88
AMP_0111,CAB4950443.1,80,25,5,0,1,25,508,532,2.21e-06,47,84
AMP_0111,ECW18677.1,80,25,5,0,1,25,503,527,2.26e-06,47,84
AMP_0111,CAB4764057.1,80,25,5,0,1,25,511,535,2.30e-06,46.6,88
AMP_0111,CAN5316655.1,76,25,6,0,1,25,491,515,2.44e-06,46.6,88
AMP_0111,ECW18837.1,80,25,5,0,1,25,371,395,2.61e-06,46.6,84
AMP_0111,CAB4728263.1,76,25,6,0,1,25,346,370,2.92e-06,46.6,88
AMP_0111,CAN5169319.1,80,25,5,0,1,25,509,533,3.09e-06,46.6,88
AMP_0111,CAB4617511.1,80,25,5,0,1,25,515,539,3.21e-06,46.2,84
AMP_0111,CAN5383550.1,76,25,6,0,1,25,517,541,3.40e-06,46.2,88
AMP_0111,CAB4552190.1,80,25,5,0,1,25,521,545,3.47e-06,46.2,84
AMP_0111,EDJ18268.1,80,25,5,0,1,25,53,77,3.85e-06,43.9,84
AMP_0111,ECI80285.1,76,25,6,0,1,25,186,210,3.96e-06,45.8,88
AMP_0111,KGA14486.1,80,25,5,0,1,25,505,529,4.02e-06,46.2,84
AMP_0111,ECX50104.1,76,25,6,0,1,25,379,403,4.18e-06,46.2,88
AMP_0111,OIQ77297.1,72,25,7,0,1,25,501,525,4.66e-06,45.8,80
AMP_0111,CAN5394172.1,76,25,6,0,1,25,509,533,4.84e-06,45.8,84
AMP_0111,CAB4848240.1,80,25,5,0,1,25,511,535,4.89e-06,45.8,80
AMP_0111,CAB4572893.1,76,25,6,0,1,25,505,529,5.14e-06,45.8,88
AMP_0111,CAB4553048.1,76,25,6,0,1,25,515,539,5.34e-06,45.8,84
AMP_0111,EBO81389.1,76,25,6,0,1,25,370,394,5.39e-06,45.8,84
AMP_0111,CAB4330411.1,76,25,6,0,1,25,505,529,5.78e-06,45.8,84
AMP_0111,CAB4611997.1,76,25,6,0,1,25,515,539,5.83e-06,45.4,84
AMP_0111,CAB5019310.1,76,25,6,0,1,25,508,532,6.56e-06,45.4,84
AMP_0111,CAB4950573.1,76,25,6,0,1,25,508,532,6.96e-06,45.4,84
AMP_0111,ECI33135.1,80,25,5,0,1,25,173,197,1.03e-05,44.7,88
AMP_0111,CAB4705041.1,72,25,7,0,1,25,498,522,1.10e-05,44.7,80
AMP_0111,EDH94912.1,80,25,5,0,1,25,203,227,1.11e-05,44.7,84
AMP_0111,CAB5050153.1,72,25,7,0,1,25,498,522,1.12e-05,44.7,80
AMP_0111,CAB4657399.1,80,25,5,0,1,25,266,290,1.55e-05,44.3,84
AMP_0111,VAW06026.1,76,25,6,0,1,25,503,527,1.70e-05,44.3,84
AMP_0111,EBF57090.1,76,25,6,0,1,25,298,322,1.84e-05,44.3,84
AMP_0111,CAN5347236.1,72,25,7,0,1,25,509,533,2.06e-05,43.9,84
AMP_0111,EBZ96893.1,76,25,6,0,1,25,84,108,2.13e-05,42.7,88
AMP_0111,SVA30240.1,68,25,8,0,1,25,496,520,2.15e-05,43.9,84
AMP_0111,CAN5209604.1,76,25,6,0,1,25,507,531,2.21e-05,43.9,80
AMP_0111,CAB5042427.1,72,25,7,0,1,25,384,408,2.25e-05,43.9,80
AMP_0111,CAB4680387.1,76,25,6,0,1,25,508,532,2.32e-05,43.9,80
AMP_0111,EBP30212.1,72,25,7,0,1,25,311,335,2.35e-05,43.9,92
AMP_0111,CAN5125635.1,76,25,6,0,1,25,511,535,2.48e-05,43.9,84
AMP_0111,CAB4624142.1,76,25,6,0,1,25,507,531,2.77e-05,43.9,80
AMP_0111,EDG91982.1,72,25,7,0,1,25,460,484,2.83e-05,43.5,88
AMP_0111,CAB4573855.1,68,25,8,0,1,25,442,466,2.97e-05,43.5,88
AMP_0111,CAB4545015.1,68,25,8,0,1,25,505,529,3.02e-05,43.5,88
AMP_0111,CAB4819178.1,68,25,8,0,1,25,499,523,3.14e-05,43.5,84
AMP_0111,CAB4340797.1,68,25,8,0,1,25,499,523,3.17e-05,43.5,84
AMP_0111,CAN5286061.1,68,25,8,0,1,25,499,523,3.30e-05,43.5,84
AMP_0111,EDH88496.1,72,25,7,0,1,25,321,345,3.51e-05,43.5,88
AMP_0111,SVC59716.1,68,25,8,0,1,25,316,340,3.66e-05,43.5,88
AMP_0111,CAN5575732.1,64,25,9,0,1,25,491,515,3.90e-05,43.1,88
AMP_0111,CAN5472895.1,64,25,9,0,1,25,491,515,3.94e-05,43.1,88
AMP_0111,EDI40332.1,72,25,7,0,1,25,289,313,4.20e-05,43.1,88
AMP_0111,CAN5433304.1,72,25,7,0,1,25,505,529,4.38e-05,43.1,80
AMP_0111,CAN5555264.1,76,25,6,0,1,25,521,545,4.42e-05,43.1,80
AMP_0111,ECV38831.1,72,25,7,0,1,25,499,523,4.43e-05,43.1,84
AMP_0111,CAN5444059.1,72,25,7,0,1,25,494,518,4.47e-05,43.1,80
AMP_0111,ECW66344.1,68,25,8,0,1,25,403,427,4.73e-05,43.1,88
AMP_0111,ECY11528.1,68,25,8,0,1,25,498,522,4.93e-05,43.1,88
AMP_0111,CAB4370206.1,64,25,9,0,1,25,499,523,5.28e-05,42.7,84
AMP_0111,ECV23494.1,72,25,7,0,1,25,542,566,5.43e-05,42.7,80
AMP_0111,CAN5242068.1,68,25,8,0,1,25,523,547,5.43e-05,42.7,80
AMP_0111,CAB4622439.1,64,25,9,0,1,25,499,523,6.62e-05,42.7,84
AMP_0111,CAB4571166.1,72,25,7,0,1,25,437,461,6.77e-05,42.7,84
AMP_0111,CAN5864358.1,72,25,7,0,1,25,82,106,7.08e-05,41.2,88
AMP_0111,CAN5323937.1,72,25,7,0,1,25,492,516,7.30e-05,42.4,84
AMP_0111,KGA19702.1,64,25,9,0,1,25,499,523,7.82e-05,42.4,84
AMP_0111,CAB4658886.1,72,25,7,0,1,25,497,521,8.13e-05,42.4,84
AMP_0111,EBV97863.1,72,25,7,0,1,25,267,291,8.67e-05,42.4,88
AMP_0111,CAB4561725.1,68,25,8,0,1,25,511,535,8.87e-05,42.4,80
AMP_0111,CAB4638970.1,76,25,6,0,1,25,243,267,9.05e-05,42.4,80
AMP_0111,CAN5662502.1,68,25,8,0,1,25,510,534,9.23e-05,42.4,88
AMP_0111,KGA19908.1,64,25,9,0,1,25,499,523,9.41e-05,42.4,84
AMP_0111,CAN5687390.1,72,25,7,0,1,25,492,516,9.42e-05,42.4,84
AMP_0111,CAB4601703.1,64,25,9,0,1,25,499,523,9.60e-05,42.4,84
AMP_0111,ECX80348.1,72,25,7,0,1,25,206,230,1.04e-04,42,88
AMP_0111,CAN5420700.1,64,25,9,0,1,25,493,517,1.04e-04,42,84
AMP_0111,ECJ51663.1,64,25,9,0,1,25,208,232,1.11e-04,42,88
AMP_0111,VAW04551.1,68,25,8,0,1,25,337,361,1.15e-04,42,84
AMP_0111,EBO85526.1,76,25,6,0,1,25,127,151,1.15e-04,41.6,80
AMP_0113,ETJ21253.1,62.5,24,9,0,1,24,158,181,0.001,38.9,83.33
AMP_0116,MNG08340.1,68.889,45,14,0,1,45,50,94,1.56e-11,59.7,80
AMP_0116,MNN58390.1,68.293,41,13,0,1,41,50,90,1.00e-08,52,73.17
AMP_0116,MNE71052.1,66.667,45,15,0,1,45,50,94,4.57e-08,50.8,71.11
AMP_0116,MNJ56419.1,66.667,45,15,0,1,45,50,94,5.49e-08,50.8,73.33
AMP_0116,MNC54461.1,66.667,45,15,0,1,45,50,94,3.38e-07,48.5,71.11
AMP_0116,ETJ19659.1,74.074,27,7,0,1,27,15,41,2.31e-04,39.7,81.48
AMP_0116,MNI64648.1,66.667,33,11,0,1,33,50,82,2.42e-04,40.4,72.73
AMP_0116,SVC53184.1,67.857,28,9,0,1,28,17,44,5.17e-04,38.9,75
AMP_0116,SUZ67153.1,66.667,30,10,0,1,30,3,32,0.007,35.8,70
AMP_0116,SVA64660.1,78.261,23,5,0,1,23,42,64,0.01,35.8,78.26
AMP_0117,CAN5589101.1,61.765,34,13,0,1,34,250,283,1.07e-04,43.1,73.53
AMP_0117,CAB4637003.1,50,44,17,1,1,39,243,286,4.73e-04,41.6,65.91
AMP_0117,EDH17169.1,58.824,34,14,0,1,34,246,279,5.49e-04,41.2,70.59
AMP_0117,MCY1233209.1,58.824,34,14,0,1,34,125,158,7.30e-04,40.8,67.65
AMP_0117,EBZ52097.1,57.143,35,15,0,1,35,20,54,7.60e-04,39.3,65.71
AMP_0117,ECW11299.1,57.143,35,15,0,1,35,38,72,0.001,39.7,65.71
AMP_0117,ECE43092.1,58.824,34,14,0,1,34,155,188,0.001,40.4,67.65
AMP_0117,EBG05584.1,58.824,34,14,0,1,34,179,212,0.001,40.4,67.65
AMP_0117,EBF96242.1,58.824,34,14,0,1,34,204,237,0.001,40.4,67.65
AMP_0117,ECD05340.1,57.143,35,15,0,1,35,56,90,0.001,39.7,65.71
AMP_0117,ECW21381.1,58.824,34,14,0,1,34,211,244,0.001,40.4,67.65
AMP_0117,ECW37270.1,58.824,34,14,0,1,34,254,287,0.001,40.4,67.65
AMP_0117,EBU48231.1,58.824,34,14,0,1,34,159,192,0.001,40.4,67.65
AMP_0117,CAB4598506.1,58.824,34,14,0,1,34,241,274,0.001,40,70.59
AMP_0117,ECW01604.1,58.824,34,14,0,1,34,89,122,0.001,39.7,67.65
AMP_0117,CAN5237363.1,46.667,45,24,0,1,45,256,300,0.002,40,57.78
AMP_0117,ECW36323.1,58.824,34,14,0,1,34,94,127,0.002,39.7,67.65
AMP_0117,CAB4536222.1,55.882,34,15,0,1,34,192,225,0.002,39.7,67.65
AMP_0117,CAB4626895.1,55.882,34,15,0,1,34,192,225,0.002,39.7,67.65
AMP_0117,CAB4859068.1,55.882,34,15,0,1,34,241,274,0.002,39.7,67.65
AMP_0117,CAB4862540.1,55.882,34,15,0,1,34,241,274,0.002,39.7,67.65
AMP_0117,CAB4588216.1,55.882,34,15,0,1,34,241,274,0.002,39.7,67.65
AMP_0117,CAB4618586.1,47.727,44,18,1,1,39,253,296,0.002,39.7,65.91
AMP_0117,CAB4873267.1,54.286,35,16,0,1,35,31,65,0.002,38.5,65.71
AMP_0117,ECB75439.1,52.941,34,16,0,1,34,98,131,0.002,39.3,70.59
AMP_0117,CAN5233960.1,55.882,34,15,0,1,34,245,278,0.003,39.3,67.65
AMP_0117,CAN5320720.1,61.765,34,13,0,1,34,247,280,0.003,39.3,67.65
AMP_0117,ECM90248.1,55.882,34,15,0,1,34,211,244,0.003,38.9,67.65
AMP_0117,EBK56980.1,55.882,34,15,0,1,34,246,279,0.003,38.9,67.65
AMP_0117,CAB4641727.1,52.941,34,16,0,1,34,161,194,0.003,38.9,70.59
AMP_0117,CAN5166058.1,58.824,34,14,0,1,34,240,273,0.005,38.5,67.65
AMP_0117,CAN5388656.1,55.882,34,15,0,1,34,243,276,0.008,38.1,67.65
AMP_0117,CAN5366779.1,55.882,34,15,0,1,34,248,281,0.008,38.1,67.65
AMP_0117,CAN5167061.1,55.882,34,15,0,1,34,249,282,0.008,38.1,67.65
AMP_0117,CAN5332933.1,55.882,34,15,0,1,34,277,310,0.008,38.1,67.65
AMP_0117,EDJ03266.1,48.718,39,18,1,1,39,243,279,0.012,37.4,64.1
AMP_0117,CAN5373148.1,42.222,45,25,1,1,44,247,291,0.012,37.4,62.22
AMP_0117,CAN5467009.1,52.941,34,16,0,1,34,257,290,0.016,37,67.65
AMP_0117,CAB4692715.1,40.909,44,21,1,1,39,253,296,0.026,36.6,65.91
AMP_0117,CAN5153819.1,52.941,34,16,0,1,34,249,282,0.03,36.2,64.71
AMP_0119,SVC53184.1,71.429,28,8,0,1,28,12,39,1.91e-04,38.9,78.57
AMP_0119,SUZ85940.1,72,25,7,0,4,28,1,25,0.005,35,80
AMP_0119,MNI64648.1,64.286,28,10,0,1,28,45,72,0.031,34.3,71.43
AMP_0119,CAB4765477.1,64.286,28,10,0,1,28,10,37,0.039,33.1,71.43
AMP_0120,SVD79155.1,74.419,43,11,0,1,43,18,60,6.74e-13,62.8,81.4
AMP_0120,SVA63831.1,61.905,42,16,0,3,44,51,92,2.06e-06,46.2,64.29
AMP_0122,MNN58390.1,71.429,28,8,0,1,28,45,72,0.001,38.1,78.57
AMP_0122,MNJ56419.1,71.429,28,8,0,1,28,45,72,0.001,38.5,78.57
AMP_0122,MNI64648.1,71.429,28,8,0,1,28,45,72,0.002,37.4,78.57
AMP_0122,MNE71052.1,71.429,28,8,0,1,28,45,72,0.002,38.1,78.57
AMP_0122,MNC54461.1,71.429,28,8,0,1,28,45,72,0.002,38.1,78.57
AMP_0122,MNG08340.1,71.429,28,8,0,1,28,45,72,0.002,38.1,78.57
AMP_0122,SUZ85940.1,76,25,6,0,4,28,1,25,0.004,35.4,80
AMP_0122,ETJ19659.1,67.857,28,9,0,1,28,10,37,0.004,35.4,71.43
AMP_0122,SVC12107.1,66.667,27,9,0,1,27,10,36,0.035,33.1,74.07
AMP_0128,MNX67484.1,95.122,41,2,0,1,41,23,63,1.77e-20,80.5,95.12
AMP_0128,MNI61191.1,90.244,41,4,0,1,41,23,63,4.84e-18,74.3,92.68
AMP_0128,EBF85000.1,80.488,41,8,0,1,41,87,127,5.45e-16,70.9,90.24
AMP_0128,MNC24289.1,80.488,41,8,0,1,41,29,69,9.59e-16,68.9,87.8
AMP_0128,MNR65485.1,80.488,41,8,0,1,41,23,63,1.04e-15,68.6,87.8
AMP_0128,MNI25568.1,80.488,41,8,0,1,41,42,82,1.07e-15,68.9,87.8
AMP_0128,MNE09530.1,80.488,41,8,0,1,41,29,69,1.13e-15,68.6,87.8
AMP_0128,MNZ95619.1,82.927,41,7,0,1,41,23,63,1.21e-15,68.6,87.8
AMP_0128,SVA69110.1,78.947,38,8,0,1,38,23,60,4.27e-14,64.3,86.84
AMP_0128,VAW73173.1,73.684,38,10,0,4,41,40,77,3.43e-12,60.1,84.21
AMP_0128,EBF71370.1,90.625,32,3,0,1,32,39,70,8.16e-12,58.9,93.75
AMP_0128,EBG22252.1,82.353,34,6,0,8,41,121,154,1.48e-11,60.5,88.24
AMP_0128,SVE40711.1,77.778,36,8,0,1,36,39,74,7.79e-11,57,83.33
AMP_0128,ECA30446.1,75,36,9,0,1,36,27,62,1.86e-09,52.8,77.78
AMP_0128,EBZ30154.1,71.429,35,10,0,6,40,28,62,3.88e-09,52,80
AMP_0128,ETJ19881.1,80,30,6,0,12,41,44,73,8.95e-09,51.2,86.67
AMP_0128,EBY45737.1,68.571,35,11,0,7,41,40,74,3.48e-08,49.7,74.29
AMP_0128,SVB16136.1,79.31,29,6,0,13,41,35,63,3.60e-08,49.7,86.21
AMP_0128,ECI50267.1,74.194,31,8,0,1,31,60,90,7.39e-08,49.3,83.87
AMP_0128,KKK79560.1,67.647,34,11,0,8,41,39,72,7.98e-08,48.9,82.35
AMP_0128,EBU52140.1,79.31,29,6,0,1,29,63,91,2.22e-07,48.1,82.76
AMP_0128,SVD00820.1,58.333,36,15,0,6,41,28,63,2.37e-07,47.4,72.22
AMP_0128,SVA99445.1,72.414,29,8,0,6,34,28,56,5.57e-06,43.9,75.86
AMP_0128,SUZ91065.1,61.29,31,12,0,11,41,35,65,6.14e-06,43.9,77.42
AMP_0128,SVA52540.1,67.742,31,10,0,6,36,35,65,7.80e-05,41.2,70.97
AMP_0128,ECT99871.1,70.37,27,8,0,6,32,36,62,1.04e-04,40.8,77.78
AMP_0128,EBP53572.1,54.545,33,15,0,4,36,163,195,0.001,40.4,72.73
AMP_0128,SVC42329.1,73.913,23,6,0,14,36,4,26,0.001,38.1,82.61
AMP_0128,EDJ09216.1,55.882,34,15,0,8,41,140,173,0.001,39.7,67.65
AMP_0128,ECV54369.1,70.833,24,7,0,13,36,131,154,0.002,39.3,79.17
AMP_0128,EBK08930.1,80.952,21,4,0,12,32,52,72,0.002,37.7,85.71
AMP_0128,KKK53386.1,58.065,31,13,0,6,36,28,58,0.002,38.5,74.19
AMP_0128,ECW97987.1,80.952,21,4,0,12,32,64,84,0.003,37.7,85.71
AMP_0128,SVD56124.1,78.947,19,4,0,19,37,42,60,0.007,36.2,89.47
AMP_0128,EBJ34349.1,80,20,4,0,12,31,60,79,0.01,36.2,85
AMP_0130,MNU18826.1,77.419,31,7,0,1,31,1,31,6.51e-10,55.1,93.55
AMP_0130,MPL56327.1,77.419,31,7,0,1,31,1,31,7.02e-10,55.1,93.55
AMP_0130,MNK19020.1,77.419,31,7,0,1,31,1,31,3.14e-09,53.1,93.55
AMP_0130,KKK87759.1,70.968,31,9,0,1,31,1,31,6.46e-08,50.1,83.87
AMP_0130,CAI8309378.1,72.414,29,8,0,1,29,1,29,3.37e-07,48.1,82.76
AMP_0130,EBK85118.1,74.194,31,8,0,1,31,1,31,4.04e-07,47.8,80.65
AMP_0130,ECT61458.1,61.29,31,12,0,1,31,1,31,4.50e-07,47.8,80.65
AMP_0130,MCY1220231.1,68.966,29,9,0,1,29,1,29,4.60e-07,47.8,89.66
AMP_0130,EBK58298.1,64.516,31,11,0,1,31,2,32,6.22e-07,46.6,77.42
AMP_0130,EDA19643.1,64.516,31,11,0,1,31,2,32,7.90e-07,47,77.42
AMP_0130,ECY82433.1,64.516,31,11,0,1,31,2,32,8.42e-07,47,77.42
AMP_0130,EBH91030.1,64.516,31,11,0,1,31,2,32,8.51e-07,47,77.42
AMP_0130,EDD44425.1,64.516,31,11,0,1,31,2,32,8.60e-07,47,77.42
AMP_0130,EDB21173.1,64.516,31,11,0,1,31,2,32,9.27e-07,47,77.42
AMP_0130,EDA13384.1,68.966,29,9,0,1,29,2,30,9.99e-07,47,79.31
AMP_0130,EDI97813.1,64.516,31,11,0,1,31,2,32,1.21e-06,46.6,77.42
AMP_0130,EDB34983.1,70.968,31,9,0,1,31,1,31,1.24e-06,46.6,77.42
AMP_0130,EDC99272.1,64.516,31,11,0,1,31,2,32,1.25e-06,46.6,77.42
AMP_0130,EBH35838.1,64.516,31,11,0,1,31,1,31,1.31e-06,46.6,77.42
AMP_0130,ECZ80976.1,61.29,31,12,0,1,31,2,32,1.36e-06,46.6,77.42
AMP_0130,VAW25346.1,61.29,31,12,0,1,31,1,31,1.95e-06,46.2,80.65
AMP_0130,KKO07728.1,64.516,31,11,0,1,31,1,31,1.97e-06,46.2,80.65
AMP_0130,EDI27697.1,64.516,31,11,0,1,31,2,32,2.20e-06,45.8,77.42
AMP_0130,EDB93404.1,67.742,31,10,0,1,31,1,31,2.63e-06,45.8,80.65
AMP_0130,EDB36943.1,65.517,29,10,0,1,29,2,30,2.64e-06,45.8,82.76
AMP_0130,EBO28518.1,61.29,31,12,0,1,31,1,31,2.65e-06,44.3,77.42
AMP_0130,EBB10442.1,63.333,30,11,0,2,31,3,32,2.89e-06,44.7,80
AMP_0130,ECA79943.1,70.968,31,9,0,1,31,1,31,3.22e-06,45.4,80.65
AMP_0130,ECY52519.1,67.742,31,10,0,1,31,1,31,3.44e-06,45.4,74.19
AMP_0130,ECW74273.1,64.516,31,11,0,1,31,1,31,3.66e-06,45.4,77.42
AMP_0130,EDG45456.1,65.517,29,10,0,1,29,2,30,3.76e-06,45.4,79.31
AMP_0130,EDC99045.1,67.742,31,10,0,1,31,1,31,3.78e-06,45.4,80.65
AMP_0130,MNK16797.1,65.517,29,10,0,1,29,1,29,4.08e-06,45.1,86.21
AMP_0130,EBG16370.1,61.29,31,12,0,1,31,4,34,4.18e-06,45.1,77.42
AMP_0130,CAN5333859.1,64.516,31,11,0,1,31,1,31,4.44e-06,45.1,83.87
AMP_0130,EBE43932.1,61.29,31,12,0,1,31,1,31,5.10e-06,45.1,77.42
AMP_0130,EDC64777.1,61.29,31,12,0,1,31,1,31,5.32e-06,45.1,77.42
AMP_0130,EDB82638.1,63.333,30,11,0,2,31,3,32,5.76e-06,44.7,80
AMP_0130,EBF40602.1,84,25,4,0,7,31,11,35,5.80e-06,44.7,88
AMP_0130,CAN5835219.1,74.074,27,7,0,5,31,7,33,5.91e-06,44.7,88.89
AMP_0130,MNT34351.1,65.517,29,10,0,1,29,1,29,6.45e-06,44.7,82.76
AMP_0130,EDB76471.1,64.516,31,11,0,1,31,1,31,7.49e-06,44.7,80.65
AMP_0130,EDC82075.1,61.29,31,12,0,1,31,1,31,7.57e-06,44.7,80.65
AMP_0130,EDA45455.1,61.29,31,12,0,1,31,2,32,7.60e-06,44.7,77.42
AMP_0130,EDB85417.1,64.516,31,11,0,1,31,1,31,7.90e-06,44.3,74.19
AMP_0130,ECM96388.1,61.29,31,12,0,1,31,1,31,7.98e-06,44.3,80.65
AMP_0130,EBN58259.1,66.667,30,10,0,2,31,4,33,9.89e-06,43.9,76.67
AMP_0130,EDB53042.1,67.742,31,10,0,1,31,1,31,1.01e-05,44.3,70.97
AMP_0130,EDI16409.1,63.333,30,11,0,2,31,28,57,1.05e-05,44.7,80
AMP_0130,EBX81983.1,61.29,31,12,0,1,31,1,31,1.06e-05,44.3,77.42
AMP_0130,EBE30111.1,63.333,30,11,0,2,31,3,32,1.09e-05,43.5,80
AMP_0130,ECD35960.1,58.065,31,13,0,1,31,24,54,1.11e-05,44.3,80.65
AMP_0130,ECW89523.1,58.065,31,13,0,1,31,24,54,1.14e-05,44.3,80.65
AMP_0130,EBK77359.1,58.065,31,13,0,1,31,24,54,1.14e-05,44.3,80.65
AMP_0130,EBJ95384.1,67.742,31,10,0,1,31,1,31,1.20e-05,43.9,80.65
AMP_0130,ECY77089.1,64.516,31,11,0,1,31,1,31,1.23e-05,43.1,77.42
AMP_0130,MND85241.1,67.742,31,10,0,1,31,1,31,1.30e-05,43.9,80.65
AMP_0130,MNL04065.1,67.742,31,10,0,1,31,1,31,1.36e-05,43.9,80.65
AMP_0130,EBL45469.1,68.966,29,9,0,2,30,4,32,1.45e-05,43.9,79.31
AMP_0130,ECG12030.1,64.516,31,11,0,1,31,1,31,1.67e-05,43.5,80.65
AMP_0130,ECJ39668.1,74.074,27,7,0,5,31,7,33,1.67e-05,42.4,81.48
AMP_0130,EBF90526.1,70,30,9,0,2,31,24,53,1.75e-05,43.9,76.67
AMP_0130,EBI43054.1,61.29,31,12,0,1,31,1,31,1.81e-05,43.5,74.19
AMP_0130,EDH45526.1,63.333,30,11,0,2,31,4,33,1.83e-05,43.5,80
AMP_0130,ECI36442.1,67.742,31,10,0,1,31,1,31,1.89e-05,43.5,77.42
AMP_0130,ECZ28973.1,63.333,30,11,0,2,31,5,34,1.94e-05,43.5,76.67
AMP_0130,EDC87165.1,67.742,31,10,0,1,31,1,31,2.00e-05,43.5,70.97
AMP_0130,VAW18530.1,64.516,31,11,0,1,31,1,31,2.06e-05,43.5,74.19
AMP_0130,EBQ77013.1,61.29,31,12,0,1,31,2,32,2.20e-05,42.4,74.19
AMP_0130,KKN15795.1,79.167,24,5,0,8,31,10,33,2.31e-05,43.1,91.67
AMP_0130,EBJ76215.1,64.516,31,11,0,1,31,1,31,2.50e-05,43.1,80.65
AMP_0130,EBH01411.1,74.074,27,7,0,5,31,7,33,2.56e-05,42.4,81.48
AMP_0130,CAN5426089.1,61.29,31,12,0,1,31,1,31,2.58e-05,43.1,77.42
AMP_0130,EDJ19474.1,64.516,31,11,0,1,31,5,35,2.82e-05,43.1,70.97
AMP_0130,CAN5673672.1,83.333,24,4,0,8,31,10,33,2.89e-05,43.1,87.5
AMP_0130,CAN5588053.1,70,30,9,0,2,31,26,55,2.96e-05,43.5,83.33
AMP_0130,EBV11117.1,63.333,30,11,0,2,31,4,33,3.01e-05,43.1,80
AMP_0130,ECL52373.1,61.29,31,12,0,1,31,1,31,3.12e-05,42.7,80.65
AMP_0130,EDH19902.1,58.065,31,13,0,1,31,8,38,3.19e-05,43.1,74.19
AMP_0130,EDB43908.1,61.29,31,12,0,1,31,2,32,3.49e-05,42.7,77.42
AMP_0130,CAN5489147.1,58.065,31,13,0,1,31,1,31,3.51e-05,42.7,77.42
AMP_0130,EDG54989.1,66.667,27,9,0,5,31,7,33,3.55e-05,41.6,77.78
AMP_0130,MPM12940.1,70.37,27,8,0,5,31,14,40,3.80e-05,42.7,81.48
AMP_0130,SVC02696.1,79.167,24,5,0,8,31,13,36,4.17e-05,41.2,83.33
AMP_0130,EBU93829.1,65.517,29,10,0,1,29,2,30,4.22e-05,42.7,79.31
AMP_0130,EBQ34800.1,62.069,29,11,0,1,29,2,30,4.40e-05,42.4,75.86
AMP_0130,EDB88947.1,58.065,31,13,0,1,31,4,34,4.44e-05,41.6,74.19
AMP_0130,SVA67280.1,58.065,31,13,0,1,31,1,31,4.58e-05,42.4,77.42
AMP_0130,EDI13124.1,64.516,31,11,0,1,31,1,31,4.68e-05,42.4,70.97
AMP_0130,KKN83996.1,79.167,24,5,0,8,31,10,33,4.76e-05,42.4,87.5
AMP_0130,CAN5609848.1,65.385,26,9,0,4,29,2,27,4.80e-05,42.4,80.77
AMP_0130,EBP47093.1,54.839,31,14,0,1,31,1,31,4.83e-05,42.4,77.42
AMP_0130,EBQ76378.1,54.839,31,14,0,1,31,1,31,4.83e-05,42.4,77.42
AMP_0130,EBQ21113.1,54.839,31,14,0,1,31,1,31,4.93e-05,42.4,77.42
AMP_0130,ECA47195.1,58.065,31,13,0,1,31,4,34,5.42e-05,41.6,74.19
AMP_0130,EBX98668.1,62.069,29,11,0,1,29,1,29,5.49e-05,42.4,75.86
AMP_0130,ECA47193.1,58.065,31,13,0,1,31,4,34,5.82e-05,41.6,74.19
AMP_0130,MPM51442.1,70.37,27,8,0,5,31,14,40,5.87e-05,42.4,81.48
AMP_0130,EBV59909.1,63.333,30,11,0,2,31,4,33,5.99e-05,41.6,73.33
AMP_0130,EBJ75217.1,58.065,31,13,0,1,31,4,34,6.02e-05,41.2,74.19
AMP_0137,SUZ85940.1,76,25,6,0,4,28,1,25,0.004,35.4,80
AMP_0137,MNI64648.1,71.429,28,8,0,1,28,45,72,0.006,35.8,71.43
AMP_0137,MNJ56419.1,71.429,28,8,0,1,28,45,72,0.011,36.2,71.43
AMP_0137,MNE71052.1,71.429,28,8,0,1,28,45,72,0.012,35.8,71.43
AMP_0137,MNC54461.1,71.429,28,8,0,1,28,45,72,0.013,35.8,71.43
AMP_0137,MNG08340.1,71.429,28,8,0,1,28,45,72,0.013,35.8,71.43
AMP_0137,MNN58390.1,71.429,28,8,0,1,28,45,72,0.014,35.4,71.43
AMP_0142,EBT39675.1,84.615,26,4,0,1,26,38,63,2.73e-08,49.3,92.31
